explored  time (s)  solution           fval        gap (%)                                         
 8720032   1212.64         1   1.000000e+01   9.999000e-03                                          
 8730032   1214.08         1   1.000000e+01   9.999000e-03                                          
 8740032   1215.58         1   1.000000e+01   9.999000e-03                                          
 8750032   1217.06         1   1.000000e+01   9.999000e-03                                          
 8760032   1218.74         1   1.000000e+01   9.999000e-03                                          
 8770032   1220.10         1   1.000000e+01   9.999000e-03                                          
 8780032   1221.41         1   1.000000e+01   9.999000e-03                                          
 8790032   1222.67         1   1.000000e+01   9.999000e-03                                          
 8800032   1223.91         1   1.000000e+01   9.999000e-03                                          
 8810032   1225.11         1   1.000000e+01   9.999000e-03                                          
 8820032   1226.51         1   1.000000e+01   9.999000e-03                                          
 8830032   1227.82         1   1.000000e+01   9.999000e-03                                          
 8840032   1229.21         1   1.000000e+01   9.999000e-03                                          
 8850032   1230.57         1   1.000000e+01   9.999000e-03                                          
 8860032   1231.92         1   1.000000e+01   9.999000e-03                                          
 8870032   1233.27         1   1.000000e+01   9.999000e-03                                          
 8880032   1234.59         1   1.000000e+01   9.999000e-03                                          
 8890032   1235.90         1   1.000000e+01   9.999000e-03                                          
 8900032   1237.20         1   1.000000e+01   9.999000e-03                                          
 8910032   1238.46         1   1.000000e+01   9.999000e-03                                          
 8920032   1239.74         1   1.000000e+01   9.999000e-03                                          
 8930032   1240.97         1   1.000000e+01   9.999000e-03                                          
 8940032   1242.20         1   1.000000e+01   9.999000e-03                                          
 8950032   1243.42         1   1.000000e+01   9.999000e-03                                          
 8960032   1244.95         1   1.000000e+01   9.999000e-03                                          
 8970032   1246.39         1   1.000000e+01   9.999000e-03                                          
 8980032   1247.87         1   1.000000e+01   9.999000e-03                                          
 8990032   1249.66         1   1.000000e+01   9.999000e-03                                          
   nodes     total   num int        integer       relative                                          
explored  time (s)  solution           fval        gap (%)                                         
 9000032   1251.16         1   1.000000e+01   9.999000e-03                                          
 9010032   1252.69         1   1.000000e+01   9.999000e-03                                          
 9020032   1254.48         1   1.000000e+01   9.999000e-03                                          
 9030032   1255.76         1   1.000000e+01   9.999000e-03                                          
 9040032   1257.02         1   1.000000e+01   9.999000e-03                                          
 9050032   1258.24         1   1.000000e+01   9.999000e-03                                          
 9060032   1259.55         1   1.000000e+01   9.999000e-03                                          
 9070032   1260.91         1   1.000000e+01   9.999000e-03                                          
 9080032   1262.24         1   1.000000e+01   9.999000e-03                                          
 9090032   1263.53         1   1.000000e+01   9.999000e-03                                          
 9100032   1264.79         1   1.000000e+01   9.999000e-03                                          
